,name,Minutes played,Matches played,Goals,Assists,Distance covered (km),Top speed (km/h),Corners taken,Offsides,Dribbles,Total attempts,Attempts on target,Attempts off target,Blocked,Balls recovered,Tackles,Tackles won,Tackles lost,Clearances attempted,Fouls committed,Fouls suffered,Yellow cards,Red cards,Passing accuracy (%),Passes attempted,Passes completed,Crossing accuracy (%),Crosses attempted,Crosses completed,Free-kicks taken,Saves,Goals conceded,Saves from penalties,Clean sheets,Punches made,Right foot,Left foot,Head,Other,Goals inside area,Goals outside area,Penalties scored,team,position
14,Kovačić,265,4,1,0,33.8,32.4,0,0,4,4,1,1,2,11,6,1,5,0,2,3,1,0,92.8,237,225,0,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,Man City,Midfielder
15,Doku,192,4,0,1,21.5,33.2,1,1,23,4,1,2,1,3,2,0,2,0,2,4,0,0,89.8,108,96,17.6,17,3,0,0,0,0,2,0,0,0,0,0,0,0,0,Man City,Midfielder
16,Ortega,180,2,0,0,10.6,25.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.5,47,45,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,Man City,Goalkeeper
17,Aké,143,2,0,0,15.9,30.8,0,0,0,2,1,1,0,7,3,1,2,2,3,0,0,0,97,154,149,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,Man City,Defender
18,Simpson-Pusey,112,2,0,0,12.3,33.2,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,97.5,68,65,100,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,Man City,Defender
19,Walker,102,2,0,0,11.8,30.4,0,0,2,1,1,0,0,3,2,2,0,0,1,0,0,0,91,107,96,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Man City,Defender
20,McAtee,94,4,1,0,12.9,31.1,0,0,1,5,3,1,1,4,4,2,2,0,4,1,1,0,86,35,29,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,Man City,Midfielder
21,Rodri,90,1,0,0,12,31.7,0,0,1,1,0,1,0,5,4,2,2,0,3,1,0,0,91,91,83,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Man City,Midfielder
22,O’Reilly,10,1,0,0,1.5,34.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Man City,Midfielder
23,Carson,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,Man City,Goalkeeper
24,Hudson,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,Man City,Goalkeeper
25,Wright,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,Man City,Midfielder
26,Alleyne,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,Man City,Defender
27,Wilson-Esbrand,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,Man City,Defender
